path	line	kind	reason	snippet
safe/src/abi/types.rs	10	unsafe extern fn	ABI mirrors still encode C layout and opaque-pointer contracts that Rust cannot express safely without `unsafe`	pub type xmlFreeFunc = Option<unsafe extern "C" fn(*mut c_void)>;
safe/src/abi/types.rs	11	unsafe extern fn	ABI mirrors still encode C layout and opaque-pointer contracts that Rust cannot express safely without `unsafe`	pub type xmlMallocFunc = Option<unsafe extern "C" fn(usize) -> *mut c_void>;
safe/src/abi/types.rs	12	unsafe extern fn	ABI mirrors still encode C layout and opaque-pointer contracts that Rust cannot express safely without `unsafe`	pub type xmlReallocFunc = Option<unsafe extern "C" fn(*mut c_void, usize) -> *mut c_void>;
safe/src/abi/types.rs	13	unsafe extern fn	ABI mirrors still encode C layout and opaque-pointer contracts that Rust cannot express safely without `unsafe`	pub type xmlStrdupFunc = Option<unsafe extern "C" fn(*const c_char) -> *mut c_char>;
safe/src/abi/types.rs	14	unsafe extern fn	ABI mirrors still encode C layout and opaque-pointer contracts that Rust cannot express safely without `unsafe`	pub type xmlGenericErrorFunc = Option<unsafe extern "C" fn(*mut c_void, *const c_char, ...)>;
safe/src/abi/types.rs	15	unsafe extern fn	ABI mirrors still encode C layout and opaque-pointer contracts that Rust cannot express safely without `unsafe`	pub type xmlStructuredErrorFunc = Option<unsafe extern "C" fn(*mut c_void, *mut xmlError)>;
safe/src/abi/types.rs	216	unsafe extern fn	ABI mirrors still encode C layout and opaque-pointer contracts that Rust cannot express safely without `unsafe`	Option<unsafe extern "C" fn(*mut c_void, *mut c_char, c_int) -> c_int>;
safe/src/abi/types.rs	217	unsafe extern fn	ABI mirrors still encode C layout and opaque-pointer contracts that Rust cannot express safely without `unsafe`	pub type xmlInputCloseCallback = Option<unsafe extern "C" fn(*mut c_void) -> c_int>;
safe/src/abi/types.rs	219	unsafe extern fn	ABI mirrors still encode C layout and opaque-pointer contracts that Rust cannot express safely without `unsafe`	Option<unsafe extern "C" fn(*mut c_void, *const c_char, c_int) -> c_int>;
safe/src/abi/types.rs	220	unsafe extern fn	ABI mirrors still encode C layout and opaque-pointer contracts that Rust cannot express safely without `unsafe`	pub type xmlOutputCloseCallback = Option<unsafe extern "C" fn(*mut c_void) -> c_int>;
safe/src/abi/types.rs	257	unsafe extern fn	ABI mirrors still encode C layout and opaque-pointer contracts that Rust cannot express safely without `unsafe`	pub error: Option<unsafe extern "C" fn(*mut c_void, *const c_char, ...)>,
safe/src/abi/types.rs	258	unsafe extern fn	ABI mirrors still encode C layout and opaque-pointer contracts that Rust cannot express safely without `unsafe`	pub warning: Option<unsafe extern "C" fn(*mut c_void, *const c_char, ...)>,
safe/src/abi/types.rs	311	unsafe extern fn	ABI mirrors still encode C layout and opaque-pointer contracts that Rust cannot express safely without `unsafe`	unsafe extern "C" fn(*mut c_void, *const xmlChar, *const xmlChar) -> *mut xmlXPathObject,
safe/src/abi/types.rs	314	unsafe extern fn	ABI mirrors still encode C layout and opaque-pointer contracts that Rust cannot express safely without `unsafe`	Option<unsafe extern "C" fn(*mut c_void, *const xmlChar, *const xmlChar) -> *mut c_void>;
safe/src/abi/types.rs	364	unsafe extern fn	ABI mirrors still encode C layout and opaque-pointer contracts that Rust cannot express safely without `unsafe`	pub getPublicId: Option<unsafe extern "C" fn(*mut c_void) -> *const xmlChar>,
safe/src/abi/types.rs	365	unsafe extern fn	ABI mirrors still encode C layout and opaque-pointer contracts that Rust cannot express safely without `unsafe`	pub getSystemId: Option<unsafe extern "C" fn(*mut c_void) -> *const xmlChar>,
safe/src/abi/types.rs	366	unsafe extern fn	ABI mirrors still encode C layout and opaque-pointer contracts that Rust cannot express safely without `unsafe`	pub getLineNumber: Option<unsafe extern "C" fn(*mut c_void) -> c_int>,
safe/src/abi/types.rs	367	unsafe extern fn	ABI mirrors still encode C layout and opaque-pointer contracts that Rust cannot express safely without `unsafe`	pub getColumnNumber: Option<unsafe extern "C" fn(*mut c_void) -> c_int>,
safe/src/abi/types.rs	376	unsafe extern fn	ABI mirrors still encode C layout and opaque-pointer contracts that Rust cannot express safely without `unsafe`	Option<unsafe extern "C" fn(*const c_char, c_int) -> *mut xmlParserInputBuffer>;
safe/src/abi/types.rs	378	unsafe extern fn	ABI mirrors still encode C layout and opaque-pointer contracts that Rust cannot express safely without `unsafe`	unsafe extern "C" fn(*const c_char, *mut xmlCharEncodingHandler, c_int) -> *mut xmlOutputBuffer,
safe/src/abi/types.rs	380	unsafe extern fn	ABI mirrors still encode C layout and opaque-pointer contracts that Rust cannot express safely without `unsafe`	pub type xmlRegisterNodeFunc = Option<unsafe extern "C" fn(*mut xmlNode)>;
safe/src/abi/types.rs	381	unsafe extern fn	ABI mirrors still encode C layout and opaque-pointer contracts that Rust cannot express safely without `unsafe`	pub type xmlDeregisterNodeFunc = Option<unsafe extern "C" fn(*mut xmlNode)>;
safe/src/cli/xmlcatalog.rs	29	unsafe extern block	handwritten CLI entrypoints still need direct FFI calls, raw C strings, FILE* handles, and parser-owned pointer lifetimes	unsafe extern "C" {
safe/src/cli/xmlcatalog.rs	67	unsafe fn	handwritten CLI entrypoints still need direct FFI calls, raw C strings, FILE* handles, and parser-owned pointer lifetimes	unsafe fn c_string_lossy(ptr: *const c_char) -> String {
safe/src/cli/xmlcatalog.rs	71	unsafe block	handwritten CLI entrypoints still need direct FFI calls, raw C strings, FILE* handles, and parser-owned pointer lifetimes	unsafe { CStr::from_ptr(ptr) }
safe/src/cli/xmlcatalog.rs	77	unsafe fn	handwritten CLI entrypoints still need direct FFI calls, raw C strings, FILE* handles, and parser-owned pointer lifetimes	unsafe fn xml_string_lossy(ptr: *const u8) -> String {
safe/src/cli/xmlcatalog.rs	78	unsafe block	handwritten CLI entrypoints still need direct FFI calls, raw C strings, FILE* handles, and parser-owned pointer lifetimes	unsafe { c_string_lossy(ptr as *const c_char) }
safe/src/cli/xmlcatalog.rs	81	unsafe fn	handwritten CLI entrypoints still need direct FFI calls, raw C strings, FILE* handles, and parser-owned pointer lifetimes	unsafe fn free_xml_string(ptr: *mut u8) {
safe/src/cli/xmlcatalog.rs	83	unsafe block	handwritten CLI entrypoints still need direct FFI calls, raw C strings, FILE* handles, and parser-owned pointer lifetimes	unsafe { xmlFree.expect("non-null function pointer")(ptr as *mut c_void) };
safe/src/cli/xmlcatalog.rs	133	unsafe fn	handwritten CLI entrypoints still need direct FFI calls, raw C strings, FILE* handles, and parser-owned pointer lifetimes	unsafe fn parse_shell_tokens(line: *const c_char) -> (String, Vec<String>) {
safe/src/cli/xmlcatalog.rs	134	unsafe block	handwritten CLI entrypoints still need direct FFI calls, raw C strings, FILE* handles, and parser-owned pointer lifetimes	let bytes = unsafe { CStr::from_ptr(line) }.to_bytes();
safe/src/cli/xmlcatalog.rs	203	unsafe fn	handwritten CLI entrypoints still need direct FFI calls, raw C strings, FILE* handles, and parser-owned pointer lifetimes	unsafe fn print_catalog_answer(answer: *mut u8, missing: &str, output: *mut FILE) {
safe/src/cli/xmlcatalog.rs	205	unsafe block	handwritten CLI entrypoints still need direct FFI calls, raw C strings, FILE* handles, and parser-owned pointer lifetimes	unsafe { write_file_str(output, missing) };
safe/src/cli/xmlcatalog.rs	207	unsafe block	handwritten CLI entrypoints still need direct FFI calls, raw C strings, FILE* handles, and parser-owned pointer lifetimes	unsafe {
safe/src/cli/xmlcatalog.rs	215	unsafe fn	handwritten CLI entrypoints still need direct FFI calls, raw C strings, FILE* handles, and parser-owned pointer lifetimes	unsafe fn run_shell(cfg: &mut Config) {
safe/src/cli/xmlcatalog.rs	218	unsafe block	handwritten CLI entrypoints still need direct FFI calls, raw C strings, FILE* handles, and parser-owned pointer lifetimes	let cmdline = unsafe { c_readline_with_prompt(prompt.as_ptr() as *const c_char) };
safe/src/cli/xmlcatalog.rs	222	unsafe block	handwritten CLI entrypoints still need direct FFI calls, raw C strings, FILE* handles, and parser-owned pointer lifetimes	let (command, argv) = unsafe { parse_shell_tokens(cmdline) };
safe/src/cli/xmlcatalog.rs	223	unsafe block	handwritten CLI entrypoints still need direct FFI calls, raw C strings, FILE* handles, and parser-owned pointer lifetimes	unsafe { free_c_ptr(cmdline as *mut c_void) };
safe/src/cli/xmlcatalog.rs	227	unsafe block	handwritten CLI entrypoints still need direct FFI calls, raw C strings, FILE* handles, and parser-owned pointer lifetimes	let output = unsafe { output_or_stdout(stdout_handle()) };
safe/src/cli/xmlcatalog.rs	232	unsafe block	handwritten CLI entrypoints still need direct FFI calls, raw C strings, FILE* handles, and parser-owned pointer lifetimes	unsafe { write_file_str(output, "public requires 1 arguments\n") };
safe/src/cli/xmlcatalog.rs	234	unsafe block	handwritten CLI entrypoints still need direct FFI calls, raw C strings, FILE* handles, and parser-owned pointer lifetimes	let ans = unsafe { xmlCatalogResolvePublic(public_id.as_ptr() as *const u8) };
safe/src/cli/xmlcatalog.rs	235	unsafe block	handwritten CLI entrypoints still need direct FFI calls, raw C strings, FILE* handles, and parser-owned pointer lifetimes	unsafe {
safe/src/cli/xmlcatalog.rs	246	unsafe block	handwritten CLI entrypoints still need direct FFI calls, raw C strings, FILE* handles, and parser-owned pointer lifetimes	unsafe { write_file_str(output, "system requires 1 arguments\n") };
safe/src/cli/xmlcatalog.rs	248	unsafe block	handwritten CLI entrypoints still need direct FFI calls, raw C strings, FILE* handles, and parser-owned pointer lifetimes	let ans = unsafe { xmlCatalogResolveSystem(system_id.as_ptr() as *const u8) };
safe/src/cli/xmlcatalog.rs	249	unsafe block	handwritten CLI entrypoints still need direct FFI calls, raw C strings, FILE* handles, and parser-owned pointer lifetimes	unsafe {
safe/src/cli/xmlcatalog.rs	260	unsafe block	handwritten CLI entrypoints still need direct FFI calls, raw C strings, FILE* handles, and parser-owned pointer lifetimes	unsafe { write_file_str(output, "resolve requires 2 arguments\n") };
safe/src/cli/xmlcatalog.rs	265	unsafe block	handwritten CLI entrypoints still need direct FFI calls, raw C strings, FILE* handles, and parser-owned pointer lifetimes	let ans = unsafe {
safe/src/cli/xmlcatalog.rs	271	unsafe block	handwritten CLI entrypoints still need direct FFI calls, raw C strings, FILE* handles, and parser-owned pointer lifetimes	unsafe {
safe/src/cli/xmlcatalog.rs	278	unsafe block	handwritten CLI entrypoints still need direct FFI calls, raw C strings, FILE* handles, and parser-owned pointer lifetimes	unsafe { write_file_str(output, "add requires 2 or 3 arguments\n") };
safe/src/cli/xmlcatalog.rs	288	unsafe block	handwritten CLI entrypoints still need direct FFI calls, raw C strings, FILE* handles, and parser-owned pointer lifetimes	let ret = unsafe {
safe/src/cli/xmlcatalog.rs	296	unsafe block	handwritten CLI entrypoints still need direct FFI calls, raw C strings, FILE* handles, and parser-owned pointer lifetimes	unsafe { write_file_str(output, "add command failed\n") };
safe/src/cli/xmlcatalog.rs	303	unsafe block	handwritten CLI entrypoints still need direct FFI calls, raw C strings, FILE* handles, and parser-owned pointer lifetimes	unsafe { write_file_str(output, "del requires 1\n") };
safe/src/cli/xmlcatalog.rs	305	unsafe block	handwritten CLI entrypoints still need direct FFI calls, raw C strings, FILE* handles, and parser-owned pointer lifetimes	if unsafe { xmlCatalogRemove(value.as_ptr() as *const u8) } <= 0 {
safe/src/cli/xmlcatalog.rs	306	unsafe block	handwritten CLI entrypoints still need direct FFI calls, raw C strings, FILE* handles, and parser-owned pointer lifetimes	unsafe { write_file_str(output, "del command failed\n") };
safe/src/cli/xmlcatalog.rs	312	unsafe block	handwritten CLI entrypoints still need direct FFI calls, raw C strings, FILE* handles, and parser-owned pointer lifetimes	unsafe { write_file_str(output, "dump has no arguments\n") };
safe/src/cli/xmlcatalog.rs	314	unsafe block	handwritten CLI entrypoints still need direct FFI calls, raw C strings, FILE* handles, and parser-owned pointer lifetimes	unsafe { xmlCatalogDump(output) };
safe/src/cli/xmlcatalog.rs	319	unsafe block	handwritten CLI entrypoints still need direct FFI calls, raw C strings, FILE* handles, and parser-owned pointer lifetimes	unsafe { write_file_str(output, "debug has no arguments\n") };
safe/src/cli/xmlcatalog.rs	322	unsafe block	handwritten CLI entrypoints still need direct FFI calls, raw C strings, FILE* handles, and parser-owned pointer lifetimes	unsafe {
safe/src/cli/xmlcatalog.rs	329	unsafe block	handwritten CLI entrypoints still need direct FFI calls, raw C strings, FILE* handles, and parser-owned pointer lifetimes	unsafe { write_file_str(output, "quiet has no arguments\n") };
safe/src/cli/xmlcatalog.rs	332	unsafe block	handwritten CLI entrypoints still need direct FFI calls, raw C strings, FILE* handles, and parser-owned pointer lifetimes	unsafe {
safe/src/cli/xmlcatalog.rs	337	unsafe block	handwritten CLI entrypoints still need direct FFI calls, raw C strings, FILE* handles, and parser-owned pointer lifetimes	_ => unsafe {
safe/src/cli/xmlcatalog.rs	365	unsafe fn	handwritten CLI entrypoints still need direct FFI calls, raw C strings, FILE* handles, and parser-owned pointer lifetimes	unsafe fn save_xml_catalog(filename: &str, noout: bool, exit_value: &mut i32) {
safe/src/cli/xmlcatalog.rs	368	unsafe block	handwritten CLI entrypoints still need direct FFI calls, raw C strings, FILE* handles, and parser-owned pointer lifetimes	let out = unsafe { fopen_write(filename_c.as_ptr()) };
safe/src/cli/xmlcatalog.rs	373	unsafe block	handwritten CLI entrypoints still need direct FFI calls, raw C strings, FILE* handles, and parser-owned pointer lifetimes	unsafe {
safe/src/cli/xmlcatalog.rs	380	unsafe block	handwritten CLI entrypoints still need direct FFI calls, raw C strings, FILE* handles, and parser-owned pointer lifetimes	unsafe { xmlCatalogDump(stdout_handle()) };
